customer_id,name,email,region
1,Asha Patel,asha@example.com,West
2,Ravi Kumar,ravi@example.com,North
3,Meena Iyer,meena@example.com,South
4,John Carter,john@example.com,East
5,Priya Nair,priya@example.com,South
6,Vikram Singh,vikram@example.com,North
7,Sara Thomas,sara@example.com,West
8,Arjun Mehta,arjun@example.com,East
9,Lena Fernandes,lena@example.com,South
10,Karan Shah,karan@example.com,West
11,Divya Reddy,divya@example.com,South
12,Mohit Verma,mohit@example.com,North
13,Ayesha Khan,ayesha@example.com,East
14,Rohan Joshi,rohan@example.com,West
